id_booking,rombel,hari,jam_mulai,jam_selesai,ruang,mata_kuliah,status,waktu_booking,durasi_penggunaan,jam_penggunaan,kelas_selesai,waktu_selesai,tipe
592D19A6,2025 C,Senin,07:00,09:30,E2.01.09,Kalkulus Lanjut,batal,2026-01-01 00:00:00,0,,Selesai,2026-05-25 14:40:01,tetap
0DB4B86F,2025 D,Senin,07:00,09:30,E2.01.02,Teori Probabilitas,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
2262EFA5,2025 G,Senin,07:00,09:30,E2.01.08,Interaksi Manusia Dan Komputer,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
A1B2C3D4,2025 A,Senin,07:00,09:30,E2.02.02/LAB,Struktur Data Dan Algoritma,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
59D47EE3,2025 D,Senin,09:30,12:00,E2.01.04,Kalkulus Lanjut,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
55B121B2,2025 F,Senin,09:30,12:00,E2.01.08,Teori Probabilitas,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
1D78AC78,2025 G,Senin,09:30,12:00,E2.01.02,Teori Probabilitas,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
BB7206C1,INT 25,Senin,09:30,12:00,E2.01.10,Teori Probabilitas,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
A2B3C4D5,2025 A,Senin,09:30,12:00,E2.02.02/LAB,Interaksi Manusia Dan Komputer,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
44A90D1E,2024 A,Senin,13:00,15:30,E2.01.02,Penambangan Data,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
71930D0C,2024 B,Senin,13:00,15:30,E2.01.04,Penambangan Data,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
0E8F8BCF,2024 D,Senin,13:00,15:30,E2.01.08,Analisis Data Eksploratif,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
A3A648EA,2024 E,Senin,13:00,15:30,E2.01.07,Pembelajaran Mesin,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
99E09671,2025 A,Senin,13:00,15:30,E2.01.06,Teori Probabilitas,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
BE854F7B,2025 F,Senin,13:00,15:30,E2.01.09,Interaksi Manusia Dan Komputer,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
90EF5BE1,INT 25,Senin,13:00,15:30,E2.01.10,Kalkulus Lanjut,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
A3B4C5D6,2025 B,Senin,13:00,15:30,E2.02.02/LAB,Struktur Data Dan Algoritma,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
543004B1,2024 B,Selasa,07:00,09:30,E2.01.02,Analisis Data Eksploratif,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
65EC648C,2024 E,Selasa,07:00,09:30,E2.01.04,Penambangan Data,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
BD0CBC97,2025 B,Selasa,07:00,09:30,E2.01.08,Interaksi Manusia Dan Komputer,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
D2CBA3DE,2025 C,Selasa,07:00,09:30,E2.02.02/LAB,Struktur Data Dan Algoritma,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
89F1952E,2025 E,Selasa,07:00,09:30,E2.01.09,Interaksi Manusia Dan Komputer,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
43C95198,INT 24,Selasa,07:00,09:30,E2.01.10,Pengolahan Citra Digital,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
2841BDF5,2024 A,Selasa,09:30,12:00,E2.01.02,Analisis Multivariat,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
5A72B292,2024 C,Selasa,09:30,12:00,E2.01.08,Analisis Multivariat,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
30E3447E,2024 D,Selasa,09:30,12:00,C01.04.03,Pembelajaran Mesin,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
1BE8D25E,2024 E,Selasa,09:30,12:00,E2.01.09,Analisis Data Eksploratif,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
15E04309,2025 E,Selasa,09:30,12:00,E2.01.04,Etika Kecerdasan Artifisial,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
B4C5D6E7,2025 D,Selasa,09:30,12:00,E2.02.02/LAB,Struktur Data Dan Algoritma,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
B5C6D7E8,INT 25,Selasa,09:30,12:00,E2.01.06,Interaksi Manusia Dan Komputer,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
D7F317C1,2024 A,Selasa,13:00,15:30,E2.01.02,Pengolahan Citra Digital,aktif,2026-01-01 00:00:00,0,,Belum,,tetap
